"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Swag Lab - Login: As a standard_user , I want to Log in successfully","","0","0","28","0","0"
"","Swag Lab - Home Page: As a standard_user , I want to checkout a product","","0","0","16","0","0"
"","Swag Lab - Home Page: As a standard_user , I want to Fill Information Fields","","0","0","28","0","0"
"","Swag Labs - Login: As a standard_user , I want to Log in successfully","","1","4","13","0","0"
"","The Internet Guinea Pig Website: As a user, I can log into the secure area","","0","0","12","0","0"
